DateTime;KM_SW_FR_Summe [liter];BM_SW_FR_Summe [liter];__WNW150_Summe [mm];BG_SW_FR_Summe [mm];KG_SW_FR_Summe [mm]
16.10.22 10:20:05;0;0;0;0;0,1
16.10.22 10:30:05;0;0;0;0;0,1
16.10.22 10:40:06;0;0;0;0;0,1
16.10.22 10:50:05;0;0;0;0;0,1
16.10.22 11:00:05;0;0;0;0;0,1
16.10.22 11:10:05;0;0;0;0;0,1
16.10.22 11:20:05;0;0;0;0;0,1
16.10.22 11:30:05;0;0;0;0;0,1
16.10.22 11:40:05;0;0;0;0;0,1
16.10.22 11:50:05;0;0;0;0,1;0,1
16.10.22 12:00:05;0;0;0;0,1;0,1
16.10.22 12:10:05;0;0;0;0,1;0,1
16.10.22 12:20:05;0;0;0;0,1;0,1
16.10.22 12:30:05;0;0;0;0,1;0,1
16.10.22 12:40:05;0;0;0;0,1;0,1
16.10.22 12:50:05;0;0;0;0,1;0,1
16.10.22 13:00:05;0;0;0;0,1;0,1
16.10.22 13:10:05;0;0;0;0,1;0,1
16.10.22 13:20:05;0;0;0;0,1;0,1
16.10.22 13:30:05;0;0;0;0,1;0,1
16.10.22 13:40:05;0;0;0;0,1;0,1
16.10.22 13:50:05;0;0;0;0,1;0,1
16.10.22 14:00:05;0;0;0;0,1;0,1
16.10.22 14:10:05;0;0;0;0,1;0,1
16.10.22 14:20:05;0;0;0;0,1;0,1
16.10.22 14:30:05;0;0;0;0,1;0,1
16.10.22 14:40:05;0;0;0;0,1;0,1
16.10.22 14:50:05;0;0;0;0,1;0,1
16.10.22 15:00:05;0;0;0;0,1;0,1
16.10.22 15:10:05;0;0;0;0,1;0,1
16.10.22 15:20:05;0;0;0;0,1;0,1
16.10.22 15:30:05;0;0;0;0,1;0,1
16.10.22 15:40:05;0;0;0;0,1;0,1
16.10.22 15:50:05;0;0;0;0,1;0,1
16.10.22 16:00:05;0;0;0;0,1;0,1
16.10.22 16:10:05;0;0;0;0,1;0,1
16.10.22 16:20:05;0;0;0;0,1;0,1
16.10.22 16:30:05;0;0;0;0,1;0,1
16.10.22 16:40:05;0;0;0;0,1;0,1
16.10.22 16:50:05;0;0;0;0,1;0,1
16.10.22 17:00:05;0;0;0;0,1;0,1
16.10.22 17:10:05;0;0;0;0,1;0,1
16.10.22 17:20:05;0;0;0;0,1;0,1
16.10.22 17:30:05;0;0;0;0,1;0,1
16.10.22 17:40:05;0;0;0;0,1;0,1
16.10.22 17:50:05;0;0;0;0,1;0,1
16.10.22 18:00:05;0;0;0;0,1;0,1
16.10.22 18:10:05;0;0;0;0,1;0,1
16.10.22 18:20:05;0;0;0;0,1;0,1
16.10.22 18:30:05;0;0;0;0,1;0,1
